#Organism/Name	Kingdom	Group	SubGroup	Size (Mb)	Chrs	Organelles	Plasmids	BioProjects
Abaca bunchy top virus	Viruses	ssDNA viruses	Nanoviridae	0.006422	6	-	-	1
Abalone herpesvirus Victoria/AUS/2009	Viruses	dsDNA viruses, no RNA stage	unclassified	0.211518	1	-	-	1
Abalone shriveling syndrome-associated virus	Viruses	dsDNA viruses, no RNA stage	unclassified	0.034952	1	-	-	1
Abelson murine leukemia virus	Viruses	Retro-transcribing viruses	Retroviridae	0.005894	1	-	-	1
Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	2.04344	-	-	-	1
Abutilon Brazil virus	Viruses	ssDNA viruses	Geminiviridae	0.005271	2	-	-	1
Abutilon mosaic Bolivia virus	Viruses	ssDNA viruses	Geminiviridae	0.005399	2	-	-	1
Abutilon mosaic Brazil virus	Viruses	ssDNA viruses	Geminiviridae	0.005282	2	-	-	1
Abutilon mosaic virus	Viruses	ssDNA viruses	Geminiviridae	0.005217	2	-	-	1
Acanthamoeba castellanii	Eukaryota	Protists	Other Protists	46.7146	-	1	-	2
Acanthamoeba polyphaga mimivirus	Viruses	dsDNA viruses, no RNA stage	Mimiviridae	1.18155	1	-	-	1
Acanthisitta chloris	Eukaryota	Animals	Birds	1035.88	-	-	-	1
Acanthocystis turfacea Chlorella virus 1	Viruses	dsDNA viruses, no RNA stage	Phycodnaviridae	0.288047	1	-	-	1
Acanthoscurria geniculata	Eukaryota	Animals	Other Animals	7178.4	-	-	-	1
Acaricomes phytoseiuli	Bacteria	Actinobacteria	Actinobacteria	2.41952	-	-	-	1
Acartia tonsa copepod circovirus	Viruses	ssDNA viruses	Circoviridae	0.00167	1	-	-	1
Acaryochloris	Bacteria	Cyanobacteria	Oscillatoriophycideae	7.87548	-	-	-	1
Acaryochloris marina	Bacteria	Cyanobacteria	Oscillatoriophycideae	8.3616	1	-	9	1
Acetivibrio cellulolyticus	Bacteria	Firmicutes	Clostridia	6.15674	-	-	-	1
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	3.69077	-	-	2	3
Acetobacter nitrogenifigens	Bacteria	Proteobacteria	Alphaproteobacteria	4.27052	-	-	-	1
Acetobacter okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria	3.16624	-	-	-	1
Acetobacter papayae	Bacteria	Proteobacteria	Alphaproteobacteria	3.04108	-	-	-	1
Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	3.34025	1	-	7	13
Acetobacter persici	Bacteria	Proteobacteria	Alphaproteobacteria	3.70195	-	-	-	1
Acetobacter pomorum	Bacteria	Proteobacteria	Alphaproteobacteria	2.88342	-	-	-	1
Acetobacter tropicalis	Bacteria	Proteobacteria	Alphaproteobacteria	3.71854	-	-	-	1
Acetobacteraceae bacterium AT-5844	Bacteria	Proteobacteria	Alphaproteobacteria	5.19055	-	-	-	1
Acetobacterium dehalogenans	Bacteria	Firmicutes	Clostridia	4.05007	-	-	-	1
Acetobacterium woodii	Bacteria	Firmicutes	Clostridia	4.04478	1	-	-	1
Acetohalobium arabaticum	Bacteria	Firmicutes	Clostridia	2.4696	1	-	-	1
Acetonema longum	Bacteria	Firmicutes	Negativicutes	4.32301	-	-	-	1
Acheta domestica densovirus	Viruses	ssDNA viruses	Parvoviridae	0.005234	1	-	-	1
Acheta domesticus mini ambidensovirus	Viruses	ssDNA viruses	Parvoviridae	0.004945	1	-	-	1
Acheta domesticus volvovirus	Viruses	ssDNA viruses	unclassified	0.002517	1	-	-	1
Acholeplasma axanthum	Bacteria	Tenericutes	Mollicutes	1.80712	-	-	-	1
Acholeplasma equifetale	Bacteria	Tenericutes	Mollicutes	1.28237	-	-	-	1
Acholeplasma granularum	Bacteria	Tenericutes	Mollicutes	1.45354	-	-	-	1
Acholeplasma hippikon	Bacteria	Tenericutes	Mollicutes	1.43045	-	-	-	1
Acholeplasma laidlawii	Bacteria	Tenericutes	Mollicutes	1.49699	1	-	-	1
Acholeplasma modicum	Bacteria	Tenericutes	Mollicutes	1.21918	-	-	-	1
Acholeplasma multilocale	Bacteria	Tenericutes	Mollicutes	0.924993	-	-	-	1
Acholeplasma phage L2	Viruses	dsDNA viruses, no RNA stage	Plasmaviridae	0.011965	1	-	-	1
Acholeplasma phage MV-L1	Viruses	ssDNA viruses	Inoviridae	0.004491	1	-	-	1
Achromobacter arsenitoxydans	Bacteria	Proteobacteria	Betaproteobacteria	6.15666	-	-	-	1
Achromobacter phage JWAlpha	Viruses	dsDNA viruses, no RNA stage	Podoviridae	0.072329	1	-	-	1
Achromobacter piechaudii	Bacteria	Proteobacteria	Betaproteobacteria	6.8922	-	-	-	2
Achromobacter xylosoxidans	Bacteria	Proteobacteria	Betaproteobacteria	7.35915	1	-	2	5
Aciculosporium take	Eukaryota	Fungi	Ascomycetes	58.8364	-	-	-	1
Acidaminococcus	Bacteria	Firmicutes	Negativicutes	2.28786	-	-	-	3
Acidaminococcus fermentans	Bacteria	Firmicutes	Negativicutes	2.32977	1	-	-	1
Acidaminococcus intestini	Bacteria	Firmicutes	Negativicutes	2.48777	1	-	-	2
Acidianus bottle-shaped virus	Viruses	dsDNA viruses, no RNA stage	Ampullaviridae	0.023814	1	-	-	1
Acidianus filamentous virus 1	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.020869	1	-	-	1
Acidianus filamentous virus 2	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.031787	1	-	-	1
Acidianus filamentous virus 3	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.040449	1	-	-	1
Acidianus filamentous virus 6	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.039577	1	-	-	1
Acidianus filamentous virus 7	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.036895	1	-	-	1
Acidianus filamentous virus 8	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.038179	1	-	-	1
Acidianus filamentous virus 9	Viruses	dsDNA viruses, no RNA stage	Lipothrixviridae	0.041172	1	-	-	1
Acidianus hospitalis	Archaea	Crenarchaeota	Thermoprotei	2.13765	1	-	1	1
Acidianus rod-shaped virus 1	Viruses	dsDNA viruses, no RNA stage	Rudiviridae	0.024655	1	-	-	1
Acidianus spindle-shaped virus 1	Viruses	dsDNA viruses, no RNA stage	Fuselloviridae	0.024186	1	-	-	1
Acidianus two-tailed virus	Viruses	dsDNA viruses, no RNA stage	Bicaudaviridae	0.06273	1	-	-	1
