#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Chromosomes	Organelles	Plasmids	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Emiliania huxleyi CCMP1516	280463	PRJNA77753	77753	Protists	Other Protists	167.676	65.7	GCA_000372725.1	-	-	-	AHAL01	7795	38549	38554	2013/04/19	2014/08/01	Scaffold	JGI	SAMN02744062
Arabidopsis thaliana	3702	PRJNA10719	10719	Plants	Land Plants	119.668	36.0528	GCA_000001735.1	5	2	-	-	7	33583	35378	2001/08/13	2014/07/14	Chromosome with gaps	The Arabidopsis Information Resource (TAIR)	-
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.5002	36.1	GCA_000222325.1	-	-	-	AFNA01	2143	-	-	2011/07/18	2011/08/05	Scaffold	1001genomes	SAMN02981334
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	98.0662	36	GCA_000222345.1	-	-	-	AFNB01	1740	-	-	2011/07/18	2011/08/05	Scaffold	1001genomes	SAMN02981335
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.2565	36.1	GCA_000222365.1	-	-	-	AFMZ01	1261	-	-	2011/07/18	2011/08/05	Scaffold	1001genomes	SAMN02981333
Arabidopsis thaliana	3702	PRJNA30811	30811	Plants	Land Plants	96.694	36.2	GCA_000222385.1	-	-	-	AFNC01	2408	-	-	2011/07/18	2011/08/05	Scaffold	1001genomes	SAMN02981336
Arabidopsis thaliana	3702	PRJNA13190	13190	Plants	Land Plants	93.6545	36.0433	GCA_000211275.1	6	-	-	-	6	16842	20111	2000/12/14	2007/05/19	Chromosome	Arabidopsis Genome Initiative	-
Medicago truncatula	3880	PRJNA10791	10791	Plants	Land Plants	314.478	35.9393	GCA_000219495.1	8	1	-	-	421	45000	46092	2011/08/12	2011/11/30	Chromosome	International Medicago Genome Annotation Group	-
Solanum lycopersicum	4081	PRJNA41343	41343	Plants	Land Plants	540.589	34.5	GCA_000181095.1	-	-	-	BABP01	-	-	-	2009/11/06	2009/11/06	Contig	Kazusa DNA Research Institute	-
Solanum lycopersicum	4081	PRJNA67471	67471	Plants	Land Plants	0.575198	43.5	GCA_000325825.1	-	1	-	AFYB01	195	-	-	2012/02/24	2012/02/24	Contig	Mitochondrial Genome	SAMN02981358
Hordeum vulgare subsp. vulgare	112509	PRJEB86	179052	Plants	Land Plants	1868.64	44.3	GCA_000326085.1	-	-	-	CAJW01	-	-	-	2012/10/29	2013/01/29	Contig	IPK-Gatersleben	-
Hordeum vulgare subsp. vulgare	112509	PRJDA62403	62403	Plants	Land Plants	28.016	44.7	GCA_000227425.1	-	-	-	BACC01	-	-	-	2011/06/22	2011/06/22	Contig	Institute of Plant Science and Resources, Okayama University	-
Hordeum vulgare subsp. vulgare	112509	PRJEB88	179053	Plants	Land Plants	1779.49	44.8	GCA_000326125.1	-	-	-	CAJX01	-	-	-	2012/10/29	2013/01/29	Contig	IPK-Gatersleben	-
