#Organism/Name	Kingdom	Group	SubGroup	Plasmid Name	RefSeq	INSDC	Size (Kb)	GC%	Protein	rRNA	tRNA	Other RNA	Gene	Pseudogene
'Brassica napus' phytoplasma	Bacteria	Tenericutes	Mollicutes	pPABN1	NC_016583.1	HQ637382	3.529	23.9445	5	-	-	-	5	-
'Nostoc azollae' 0708	Bacteria	Cyanobacteria	Nostocales	pAzo01	NC_014249.1	CP002060	109.57	35.6786	51	-	-	-	114	63
'Nostoc azollae' 0708	Bacteria	Cyanobacteria	Nostocales	pAzo02	NC_014250.1	CP002061	21.875	33.5406	11	-	-	-	14	3
'Rehmannia glutinosa' phytoplasma	Bacteria	Tenericutes	Mollicutes	pPARG1	NC_014123.1	FJ905104	4.371	24.5482	7	-	-	-	7	-
[Clostridium] acidurici 9a	Bacteria	Firmicutes	Clostridia	pCuri3	NC_018657.1	CP003327	2.913	28.8019	3	-	-	-	3	-
[Eubacterium] eligens ATCC 27750	Bacteria	Firmicutes	Clostridia	unnamed	NC_012780.1	CP001106	626.744	36.7801	664	-	-	-	664	-
[Eubacterium] eligens ATCC 27750	Bacteria	Firmicutes	Clostridia	unnamed	NC_012782.1	CP001105	60.455	40.751	97	-	-	-	97	-
[Pasteurella] aerogenes	Bacteria	Proteobacteria	Gammaproteobacteria	pB1002	NC_020885.1	JQ773456	5.668	41.4432	4	-	-	-	4	-
[Pasteurella] aerogenes	Bacteria	Proteobacteria	Gammaproteobacteria	pB1000	NC_020886.1	JQ773457	4.613	41.4914	4	-	-	-	4	-
[Pasteurella] aerogenes	Bacteria	Proteobacteria	Gammaproteobacteria	pCCK343	NC_019255.1	FR687372	5.415	43.8042	5	-	-	-	5	-
[Pasteurella] aerogenes BB1084	Bacteria	Proteobacteria	Gammaproteobacteria	pIG1	NC_019979.1	JQ319769	5.36	47.5	5	-	-	-	5	-
Acaryochloris marina MBIC11017	Bacteria	Cyanobacteria	Oscillatoriophycideae	pREB9	NC_009934.1	CP000846	2.133	42.5223	4	-	-	-	4	-
Acaryochloris marina MBIC11017	Bacteria	Cyanobacteria	Oscillatoriophycideae	pREB2	NC_009927.1	CP000839	356.087	45.3367	408	-	-	-	415	4
Acaryochloris marina MBIC11017	Bacteria	Cyanobacteria	Oscillatoriophycideae	pREB6	NC_009931.1	CP000843	172.728	47.1267	188	-	-	-	192	-
Acaryochloris marina MBIC11017	Bacteria	Cyanobacteria	Oscillatoriophycideae	pREB8	NC_009933.1	CP000845	120.693	45.4185	117	-	-	-	120	-
Acaryochloris marina MBIC11017	Bacteria	Cyanobacteria	Oscillatoriophycideae	pREB1	NC_009926.1	CP000838	374.161	47.3483	382	-	-	-	390	5
Acaryochloris marina MBIC11017	Bacteria	Cyanobacteria	Oscillatoriophycideae	pREB7	NC_009932.1	CP000844	155.11	45.5909	173	-	-	-	173	-
Acaryochloris marina MBIC11017	Bacteria	Cyanobacteria	Oscillatoriophycideae	pREB3	NC_009928.1	CP000840	273.121	45.1902	362	-	-	-	380	3
Acaryochloris marina MBIC11017	Bacteria	Cyanobacteria	Oscillatoriophycideae	pREB4	NC_009929.1	CP000841	226.68	45.877	273	-	-	-	278	1
Acaryochloris marina MBIC11017	Bacteria	Cyanobacteria	Oscillatoriophycideae	pREB5	NC_009930.1	CP000842	177.162	44.6755	222	-	-	-	223	-
Acetobacter aceti CCM 3610	Bacteria	Proteobacteria	Alphaproteobacteria	pAG20	NC_022074.1	KC871566	2.953	56.3495	1	-	-	-	1	-
Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	pAC5	NC_001275.1	AF110140	5.123	55.8657	2	-	-	-	2	-
Acetobacter pasteurianus CCM 3610	Bacteria	Proteobacteria	Alphaproteobacteria	pGR7	NC_010177.2	AM922326	2.446	29.5585	3	-	-	-	3	-
Acetobacter pasteurianus AC2-58	Bacteria	Proteobacteria	Alphaproteobacteria	pAC258-29	NC_019337.1	JQ418523	30.498	50.7115	42	-	-	-	42	-
Acetobacter pasteurianus AC2-58	Bacteria	Proteobacteria	Alphaproteobacteria	pAC258-26	NC_019327.1	JQ418524	20.898	51.8853	32	-	-	-	32	-
Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	pAP12875	NC_004991.1	U20550	1.44	57.4306	2	-	-	-	2	-
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	V	-	HF677574.1	11.105	52.2828	9	-	-	-	9	-
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	IV	-	HF677573.1	15.601	55.4708	11	-	-	-	11	-
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	VIII	-	HF677577.1	3.851	47.0267	4	-	-	-	4	-
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	II	-	HF677571.1	194.78	52.0094	220	-	-	-	220	-
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	VI	-	HF677575.1	9.914	50.7464	11	-	-	-	11	-
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	VII	-	HF677576.1	6.548	51.7868	5	-	-	-	5	-
Acetobacter pasteurianus 386B	Bacteria	Proteobacteria	Alphaproteobacteria	III	-	HF677572.1	18.169	55.5672	20	-	-	-	20	-
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-040	NC_013213.1	AP011125	3.204	53.7453	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-050	NC_013214.1	AP011126	3.035	55.7825	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-060	NC_013215.1	AP011127	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-020	NC_013211.1	AP011123	182.94	53.4968	174	-	-	-	174	-
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-030	NC_013212.1	AP011124	49.961	53.882	63	-	-	-	63	-
Acetobacter pasteurianus IFO 3283-01	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA01-011	NC_013210.1	AP011122	191.799	53.3621	177	-	-	-	177	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_030	NC_017151.1	AP011166	49.961	53.882	63	-	-	-	63	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_020	NC_017105.1	AP011165	182.94	53.4968	174	-	-	-	174	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_040	NC_017106.1	AP011167	3.204	53.7453	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_050	NC_017107.1	AP011168	3.035	55.7825	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_011	NC_017104.1	AP011164	191.799	53.3621	178	-	-	-	178	-
Acetobacter pasteurianus IFO 3283-01-42C	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA42C_060	NC_017152.1	AP011169	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-050	NC_017120.1	AP011133	3.035	55.7825	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-010	NC_017101.1	AP011129	191.427	53.366	177	-	-	-	177	-
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-060	NC_017109.1	AP011134	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-040	NC_017142.1	AP011132	3.204	53.7453	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-020	NC_017118.1	AP011130	182.94	53.4968	174	-	-	-	174	-
Acetobacter pasteurianus IFO 3283-03	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA03-030	NC_017119.1	AP011131	49.961	53.882	63	-	-	-	63	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-060	NC_017124.1	AP011141	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-020	NC_017122.1	AP011137	182.94	53.4968	174	-	-	-	174	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-030	NC_017110.1	AP011138	49.961	53.882	63	-	-	-	63	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-050	NC_017144.1	AP011140	3.035	55.7825	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-010	NC_017143.1	AP011136	191.427	53.366	177	-	-	-	177	-
Acetobacter pasteurianus IFO 3283-07	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA07-040	NC_017123.1	AP011139	3.204	53.7453	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-014	NC_017136.1	AP011171	191.411	53.3663	177	-	-	-	177	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-050	NC_017116.1	AP011175	3.035	55.7825	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-030	NC_017114.1	AP011173	49.961	53.882	63	-	-	-	63	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-060	NC_017137.1	AP011176	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-040	NC_017115.1	AP011174	3.204	53.7453	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-12	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA12-020	NC_017113.1	AP011172	182.94	53.4968	174	-	-	-	174	-
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-030	NC_017127.1	AP011145	49.961	53.882	63	-	-	-	63	-
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-020	NC_017126.1	AP011144	182.94	53.4968	174	-	-	-	174	-
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-010	NC_017117.1	AP011143	191.427	53.366	177	-	-	-	177	-
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-040	NC_017145.1	AP011146	3.204	53.7453	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-060	NC_017129.1	AP011148	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-22	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA22-050	NC_017128.1	AP011147	3.035	55.7825	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-030	NC_017147.1	AP011152	49.961	53.882	63	-	-	-	63	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-020	NC_017131.1	AP011151	182.94	53.4968	174	-	-	-	174	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-040	NC_017132.1	AP011153	3.204	53.7453	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-013	NC_017130.1	AP011150	191.419	53.3662	177	-	-	-	177	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-050	NC_017148.1	AP011154	3.035	55.7825	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-26	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA26-060	NC_017133.1	AP011155	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-060	NC_017112.1	AP011162	1.815	58.5675	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-050	NC_017103.1	AP011161	3.035	55.7825	2	-	-	-	2	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-040	NC_017102.1	AP011160	3.204	53.7453	3	-	-	-	3	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-012	NC_017134.1	AP011157	191.443	53.3658	177	-	-	-	177	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-030	NC_017135.1	AP011159	49.961	53.882	63	-	-	-	63	-
Acetobacter pasteurianus IFO 3283-32	Bacteria	Proteobacteria	Alphaproteobacteria	pAPA32-020	NC_017149.1	AP011158	182.94	53.4968	174	-	-	-	174	-
Achromobacter denitrificans EST4002	Bacteria	Proteobacteria	Betaproteobacteria	pEST4011	NC_005793.2	AY540995	76.958	62.026	60	-	-	-	61	-
Achromobacter denitrificans AX-22	Bacteria	Proteobacteria	Betaproteobacteria	pAX22	NC_022242.1	HF679279	28.466	62.2532	33	-	-	-	33	-
Achromobacter xylosoxidans A8	Bacteria	Proteobacteria	Betaproteobacteria	pA81	NC_006830.1	AJ515144	98.192	62.1772	100	-	-	-	103	3
Achromobacter xylosoxidans A8	Bacteria	Proteobacteria	Betaproteobacteria	pA82	NC_014642.1	CP002289	247.895	61.3082	252	-	-	-	254	2
Achromobacter xylosoxidans A8	Bacteria	Proteobacteria	Betaproteobacteria	pA81	NC_014641.1	CP002288	98.156	62.1684	104	-	-	-	108	4
Acidianus ambivalens Lei 10	Archaea	Crenarchaeota	Thermoprotei	pDL10	NC_005562.1	AJ225333	7.598	37.9705	10	-	-	-	20	-
Acidianus hospitalis W1	Archaea	Crenarchaeota	Thermoprotei	pAH1	NC_011299.1	EU881703	28.649	35.921	39	-	-	-	39	-
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY07	NC_009473.1	CP000695	5.629	57.5058	5	-	-	-	5	-
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY06	NC_009472.1	CP000694	8.781	60.9953	9	-	-	-	10	1
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY04	NC_009470.1	CP000692	37.415	59.6205	32	-	-	-	33	1
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY03	NC_009469.1	CP000691	88.953	62.1283	77	-	-	-	81	4
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY02	NC_009468.1	CP000690	187.422	61.9196	169	-	-	-	179	10
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY05	NC_009471.1	CP000693	37.155	60.8532	28	-	-	-	32	4
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY01	NC_009467.1	CP000689	203.589	62.3334	171	-	-	-	187	16
Acidiphilium cryptum JF-5	Bacteria	Proteobacteria	Alphaproteobacteria	pACRY08	NC_009474.1	CP000696	4.909	58.6881	5	-	-	-	6	1
Acidiphilium multivorum JCM8867	Bacteria	Proteobacteria	Alphaproteobacteria	pAM5	NC_008691.1	DQ499634	5.161	57.547	5	-	-	-	5	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV8	NC_015182.1	AP012043	1.729	60.9023	1	-	-	-	1	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV5	NC_015180.1	AP012040	14.328	58.9475	19	-	-	-	19	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV6	NC_015181.1	AP012041	12.125	59.5794	14	-	-	-	14	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV4	NC_015188.1	AP012039	40.588	60.0473	44	-	-	-	44	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV1	NC_015178.1	AP012036	271.573	62.94	284	-	-	-	284	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV7	NC_015189.1	AP012042	5.178	57.5898	8	-	-	-	8	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV2	NC_015187.1	AP012037	65.564	61.9212	69	-	-	-	69	-
Acidiphilium multivorum AIU301	Bacteria	Proteobacteria	Alphaproteobacteria	pACMV3	NC_015179.1	AP012038	54.248	61.2078	61	-	-	-	61	-
Acidithiobacillus caldus MNG	Bacteria	Proteobacteria	Gammaproteobacteria	pTcM1	NC_010600.1	EU421841	65.158	57.1242	45	-	-	-	45	-
Acidithiobacillus caldus F	Bacteria	Proteobacteria	Gammaproteobacteria	pTC-F14	NC_004734.1	AF325537	14.155	55.733	16	-	-	-	16	-
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Gammaproteobacteria	pLAtc3	NC_015854.1	CP002577	29.704	58.8305	28	-	-	-	28	-
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Gammaproteobacteria	pLAtc1	NC_015852.1	CP002575	9.778	59.8384	10	-	-	-	10	-
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Gammaproteobacteria	pLAtc2	NC_015853.1	CP002576	14.11	57.7108	13	-	-	-	13	-
Acidithiobacillus caldus SM-1	Bacteria	Proteobacteria	Gammaproteobacteria	megaplasmid	NC_015851.1	CP002574	251.782	57.2042	255	-	-	-	255	-
Acidithiobacillus ferrooxidans MAL4-1	Bacteria	Proteobacteria	Gammaproteobacteria	pTF4.1	NC_001520.1	X96982	4.104	62.2076	2	-	-	-	2	-
Acidithiobacillus ferrooxidans ATCC 33020	Bacteria	Proteobacteria	Gammaproteobacteria	pTF5	NC_005023.1	U73041	19.792	56.1287	13	-	-	-	15	2
Acidovorax sp. JS42	Bacteria	Proteobacteria	Betaproteobacteria	pAOVO01	NC_008765.1	CP000540	72.689	62.2061	84	-	-	-	85	1
Acidovorax sp. JS42	Bacteria	Proteobacteria	Betaproteobacteria	pAOVO02	NC_008766.1	CP000541	63.609	64.5836	64	-	-	-	73	9
Acinetobacter baumannii K60	Bacteria	Proteobacteria	Gammaproteobacteria	pAB120	NC_019359.1	JX069966	10.879	34.4609	13	-	-	-	13	-
Acinetobacter baumannii 19606	Bacteria	Proteobacteria	Gammaproteobacteria	pMAC	NC_006877.1	AY541809	9.54	34.6751	11	-	-	-	11	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pMMD	NC_019280.1	GQ904226	9.964	34.7049	8	-	-	-	8	-
Acinetobacter baumannii VA-566/00	Bacteria	Proteobacteria	Gammaproteobacteria	pABVA01	NC_012813.1	FM210331	8.963	34.4639	8	-	-	-	8	-
Acinetobacter baumannii NCGM 253	Bacteria	Proteobacteria	Gammaproteobacteria	pAB-NCGM253	NC_021489.1	AB823544	8.97	34.437	10	-	-	-	10	-
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pMMA2	NC_013277.1	GQ377752	10.679	34.8066	9	-	-	-	9	-
Acinetobacter baumannii CU2	Bacteria	Proteobacteria	Gammaproteobacteria	pMMCU2	NC_013506.1	GQ476987	10.27	36.1928	7	-	-	-	7	-
Acinetobacter baumannii C2	Bacteria	Proteobacteria	Gammaproteobacteria	pRAY*-v1	NC_019311.1	JF343536	6.078	39.1741	6	-	-	-	6	-
Acinetobacter baumannii ZW85-1	Bacteria	Proteobacteria	Gammaproteobacteria	pAbNDM-1	NC_019985.2	-	48.368	40.748	51	-	-	-	51	-
Acinetobacter baumannii transconjugant 1	Bacteria	Proteobacteria	Gammaproteobacteria	pABIR	NC_010481.1	EU294228	29.823	36.7971	26	-	-	-	29	3
Acinetobacter baumannii	Bacteria	Proteobacteria	Gammaproteobacteria	pMMCU3	NC_019199.1	GQ904227	8.964	34.4935	11	-	-	-	11	-
Acinetobacter baumannii GF216	Bacteria	Proteobacteria	Gammaproteobacteria	pNDM-AB	NC_020818.1	KC503911	47.098	38.042	43	-	-	-	43	-
Acinetobacter baumannii DS002	Bacteria	Proteobacteria	Gammaproteobacteria	pTS236	NC_016977.1	JN872565	2.252	41.4298	3	-	-	-	3	-
Acinetobacter baumannii E7	Bacteria	Proteobacteria	Gammaproteobacteria	pRAY*-v2	NC_019345.1	JX076770	8.433	39.1083	7	-	-	-	9	-
Acinetobacter baumannii 1656-2	Bacteria	Proteobacteria	Gammaproteobacteria	ABKp2	NC_017164.1	CP001923	8.041	33.5033	8	-	-	-	8	-
Acinetobacter baumannii 1656-2	Bacteria	Proteobacteria	Gammaproteobacteria	ABKp1	NC_017163.1	CP001922	74.451	33.4663	101	-	-	-	101	-
Acinetobacter baumannii 3909	Bacteria	Proteobacteria	Gammaproteobacteria	p1ABST78	NZ_AEOZ01000236.1	AEOZ01000236	26.411	37.2648	32	-	-	-	33	1
Acinetobacter baumannii 3990	Bacteria	Proteobacteria	Gammaproteobacteria	p1ABST2	NZ_AEOY01000095.1	AEOY01000095	63.32	33.4713	80	-	-	-	83	3
Acinetobacter baumannii 3990	Bacteria	Proteobacteria	Gammaproteobacteria	p2ABST2	NZ_AEOY01000096.1	AEOY01000096	21.846	37.2746	27	-	-	-	27	-
Acinetobacter baumannii 4190	Bacteria	Proteobacteria	Gammaproteobacteria	p1ABST25	NZ_AEPA01000395.1	AEPA01000395	15.267	35.5276	19	-	-	-	19	-
